gene,polarization_score
SULT1A3,-27.63497735096373
STAG1,27.60873507898308
RNF115,-27.496164094866128
ADNP,-27.49114184074372
NDUFAF3,27.436516212743133
RIPK1,27.4152562550235
FBRS,27.373070902179908
CEP135,27.36754930391145
UBL3,-27.36654933877879
PALD1,27.333235634551585
SPTLC1,27.310158172263517
BCKDHB,-27.301256451563955
SLC25A15,27.290264515353055
NPRL3,-27.26828669745959
LIG4,27.254572721031014
NMT1,27.25098323211838
EFHC1,-27.24302762366066
CTPS1,-27.240544068159256
TATDN2,27.230596313470418
TASOR2,-27.124425317917918
HSD17B12,27.085089596067238
XPO6,-27.08184187666919
PALS2,-27.074941288981723
IMPG2,27.065254969146753
SUPT20H,-27.062485041105255
ZNF99,-27.053989095795668
IPO9,27.02423494348256
CD99L2,-27.020374189749365
PRRT2,26.997939825610036
KLF2,26.989662173703998
SACM1L,-26.93914360861979
ZIC4,-26.92657489664163
IKBKB,-26.893568331859
ZBTB45,26.89199805122021
BTAF1,26.865382778487394
HIF1A,-26.861014325386254
RWDD2A,26.840008050022163
KPNA1,-26.80924104705681
TSEN15,26.796066035919683
IRF2BP2,-26.748184748626617
ABCD4,26.73421022449591
PIAS1,-26.7160827506122
TAF6L,-26.715596846884615
SF3B5,-26.70075477683782
HS3ST3B1,26.689125220557283
UPF3B,26.683357913733776
XPO5,-26.657159751434296
MPG,-26.653699812866027
H1-4,-26.64842418898053
PRKCSH,26.629812141547667
APH1A,26.60619507545032
ZC3H10,26.516783578215477
ZNF512B,26.48884365868535
TPGS2,26.485582873170532
PIK3R4,-26.469941922461526
SHMT2,26.429282350637976
NR2F6,-26.364706203072636
RNF7,26.362053137325063
PCGF1,-26.30347037048558
CMC2,-26.299916176736744
AGPAT1,26.275471457144835
FAM91A1,-26.27493502990644
FZD6,26.25330194724666
ZSCAN25,26.252791493398963
ARMCX6,26.248420883339136
SMIM24,26.24698839456283
MYO9A,-26.237191787460976
HEXIM1,-26.176038137803907
BICD1,-26.14698115972272
SND1,26.132735002762253
ZCCHC24,-26.11932817911655
SASH3,26.11353036483459
GNLY,26.10464399426474
ATP6AP2,26.083105140865307
CACNB2,-26.076212255662604
MORF4L1,-26.067568820159316
YIPF1,-26.060344854897707
FBXL6,26.040168970726587
GPR146,-26.037189641653352
VPS37B,-26.023607235326054
HPS4,25.995272133296123
NCKAP1,-25.96075170219637
TIPARP,25.96027452357248
MIMS2,-25.95778837839745
MORF4L2,25.93602664067787
CUEDC2,25.932682561864304
PMEL,-25.909758501073203
GIGYF2,-25.860299847916306
POU2F2,-25.851942540539895
LTB,-25.819742990896685
MPLKIP,25.736014535418192
TXNL1,25.734707934607883
CDC42EP4,25.702734550501052
TXNIP,25.699012961228544
ACAD9,25.690131650555024
IKZF1,25.65666360443891
PRKCA,25.622557284497113
STAT5A,-25.60525834732526
PTPN6,-25.579527179954557
GEN1,25.569829785578953
COP1,25.51526646221859
BCAT2,25.495768988431525
TBCEL,25.469296102953656
PDE3B,25.41157504714983
PPRC1,-25.37065624288301
TOP2B,-25.36940245987791
PAXIP1,25.3675343014875
PRTN3,25.36494578808675
BAZ1A,25.322415170878408
GRPEL2,25.321681617732295
ETFB,-25.311329618851474
GFM2,-25.310236684741756
EDRF1,25.285093909754767
NPAS1,-25.280965288955176
PCNX4,-25.27635304296245
RCOR1,25.264473550216408
ALDH18A1,25.26224251602562
ZNF165,25.259603487076376
