gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
LPCAT3,0.3438548445701599,AHR,False,123,Stim8hr
SND1,0.34379011392593384,CD2,False,136,Stim8hr
NDST2,0.343582421541214,PNP,False,128,Stim8hr
YIF1A,0.3433559238910675,CD3E,False,26,Stim8hr
CFL2,0.34169429540634155,AHR,False,55,Stim8hr
CYB5R4,0.34145358204841614,ITK,False,1027,Stim8hr
COX6B1,0.34023454785346985,IMPDH2,False,171,Stim8hr
PARS2,0.34021323919296265,IMPDH2,False,422,Stim8hr
GOLGA5,0.3397175073623657,LCK,False,100,Stim8hr
HSDL2,0.3389352560043335,ITK,False,267,Stim8hr
LY96,0.33880576491355896,CD3G,False,81,Stim8hr
TBP,0.3380314111709595,CD3E,False,139,Stim8hr
PHOSPHO2,0.3378985822200775,CCR5,False,332,Stim8hr
SRP9,0.337811678647995,CD3G,False,248,Stim8hr
ARF4,0.337753027677536,CD3E,False,197,Stim8hr
CHURC1,0.33759862184524536,CD3E,False,200,Stim8hr
ZCCHC17,0.3374432325363159,AHR,False,148,Stim8hr
CAVIN3,0.33723509311676025,CD274,False,125,Stim8hr
DUSP12,0.3371562957763672,IMPDH2,False,630,Stim8hr
COG5,0.3369709253311157,CD3E,False,411,Stim8hr
EIF4H,0.33643847703933716,CD3G,False,245,Stim8hr
ATAD5,0.3363827168941498,EZH2,False,2079,Stim8hr
PPP6R2,0.3361581265926361,AHR,False,60,Stim8hr
MMAB,0.3360327184200287,LCK,False,402,Stim8hr
SCO2,0.3358731269836426,IMPDH2,False,284,Stim8hr
NMI,0.33540070056915283,CD3G,False,59,Stim8hr
EARS2,0.33481311798095703,IMPDH2,False,267,Stim8hr
TOMM6,0.3345528244972229,CD3E,False,24,Stim8hr
GEN1,0.33450034260749817,AHR,False,122,Stim8hr
TRRAP,0.33449259400367737,CD3E,False,710,Stim8hr
MARK2,0.3344120681285858,ITK,False,145,Stim8hr
RTN4IP1,0.3343282639980316,ITK,False,125,Stim8hr
BCORL1,0.3340131640434265,CD3G,False,72,Stim8hr
GDAP2,0.3339696526527405,IMPDH2,False,392,Stim8hr
DNAJB6,0.3339603543281555,CD3E,False,46,Stim8hr
FANCB,0.333149254322052,AHR,False,371,Stim8hr
ZFP82,0.3326658308506012,CD3G,False,126,Stim8hr
ACTR2,0.3326009213924408,LCK,False,413,Stim8hr
SLC30A7,0.3322748839855194,LCK,False,47,Stim8hr
HSD17B10,0.3321431577205658,IMPDH2,False,445,Stim8hr
TUFM,0.33191365003585815,IMPDH2,False,439,Stim8hr
KRBA2,0.33169737458229065,CCR4,False,252,Stim8hr
AASDH,0.33148252964019775,LCK,False,92,Stim8hr
PTGER2,0.33132049441337585,CD3G,False,69,Stim8hr
HMBS,0.3311721682548523,SLAMF7,False,635,Stim8hr
NUDT15,0.33100825548171997,CD3D,False,55,Stim8hr
ATP2A3,0.3309287428855896,CD3E,False,143,Stim8hr
CASP3,0.3307665288448334,EZH2,False,325,Stim8hr
MGAT1,0.3306135833263397,CD2,False,34,Stim8hr
DNAJB14,0.3305075168609619,AHR,False,48,Stim8hr
KPNA1,0.3301912844181061,CD3E,False,609,Stim8hr
DNAJB1,0.3300188481807709,AHR,False,38,Stim8hr
MED14,0.32993465662002563,CD274,False,294,Stim8hr
TCEAL8,0.32959407567977905,CD3G,False,47,Stim8hr
EIF4G2,0.3295653462409973,CD3E,False,1425,Stim8hr
LZTS1,0.32919538021087646,CD274,False,317,Stim8hr
RHOG,0.32869288325309753,CD2,False,45,Stim8hr
C1orf216,0.3284554183483124,CD2,False,39,Stim8hr
CCNA2,0.3284194767475128,AHR,False,485,Stim8hr
ATXN7L3,0.3274673819541931,CD3E,False,1016,Stim8hr
LRPPRC,0.32663923501968384,IMPDH2,False,493,Stim8hr
RIDA,0.32629677653312683,IMPDH2,False,270,Stim8hr
KLF10,0.3260054886341095,CD274,False,160,Stim8hr
TMEM268,0.3259139657020569,CD3D,False,57,Stim8hr
ELP1,0.32552874088287354,PARP2,False,539,Stim8hr
ELAC1,0.32541075348854065,LCK,False,60,Stim8hr
DCUN1D4,0.3247624933719635,CD3E,False,52,Stim8hr
ZNF283,0.32442930340766907,CD3E,False,14,Stim8hr
SLC4A1AP,0.3244205415248871,CD274,False,235,Stim8hr
TAF5L,0.32410165667533875,CD3E,False,288,Stim8hr
PAGR1,0.32404932379722595,CD3E,False,421,Stim8hr
