Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
SCN9A,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
SCN11A,BLOCKER,Sodium channel alpha subunit blocker,CARBAMAZEPINE; LAMOTRIGINE; LIDOCAINE; OXCARBAZEPINE; QUINIDINE; RILUZOLE; ROPIVACAINE,atopic eczema; inflammatory bowel disease; multiple sclerosis; scleroderma; type 1 diabetes mellitus,7,5,immune system disorder,APPROVAL,1
SCN11A,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
BCL2L2,INHIBITOR,Apoptosis regulator Bcl-W inhibitor; Apoptosis regulator Bcl-X inhibitor; Apoptosis regulator Bcl-2 inhibitor,NAVITOCLAX,B-cell chronic lymphocytic leukemia; acute myeloid leukemia; diffuse large B-cell lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; myelofibrosis,1,6,immune system disorder,APPROVAL,1
CACNA1B,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
ADORA2A,INHIBITOR; ANTAGONIST,Phosphodiesterase 4 inhibitor; Adenosine receptor antagonist; Phosphodiesterase 3 inhibitor,THEOPHYLLINE,B-cell chronic lymphocytic leukemia; allergic rhinitis,1,2,immune system disorder,APPROVAL,1
ADORA2A,ANTAGONIST; INHIBITOR,"Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor; Adenosine receptor antagonist; Phosphodiesterase 3 inhibitor; Phosphodiesterase 4 inhibitor",AMINOPHYLLINE; PENTOXIFYLLINE,AIDS; B-cell chronic lymphocytic leukemia; inflammatory bowel disease; lymphedema; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis,2,7,immune system disorder,APPROVAL,1
ADORA2A,AGONIST; ANTAGONIST; ACTIVATOR,Adenosine A2 receptor agonist; Thrombin antagonist; Plasminogen activator; Adenosine A1 receptor agonist,DEFIBROTIDE,Kawasaki disease; plasma cell myeloma,1,2,immune system disorder,APPROVAL,1
ADORA2A,AGONIST,Adenosine receptor agonist,ADENOSINE,B-cell chronic lymphocytic leukemia; combined immunodeficiency; severe combined immunodeficiency; type 1 diabetes mellitus,1,4,immune system disorder,APPROVAL,1
ADORA2A,ANTAGONIST,Adenosine receptor antagonist,CAFFEINE,acute myeloid leukemia; atopic eczema,1,2,immune system disorder,APPROVAL,1
SSTR5,AGONIST,Somatostatin receptor 2 agonist; Somatostatin receptor 3 agonist; Somatostatin receptor 1 agonist; Somatostatin receptor 5 agonist; Somatostatin receptor agonist,OCTREOTIDE; OCTREOTIDE ACETATE; PASIREOTIDE,Chylothorax; plasma cell myeloma; thymoma,3,3,immune system disorder,APPROVAL,1
SSTR5,BINDING AGENT,Somatostatin receptor binding agent,LUTETIUM OXODOTREOTIDE LU-177,thymic neuroendocrine tumor,1,1,immune system disorder,APPROVAL,1
UMPS,INHIBITOR,Uridine 5'-monophosphate synthase inhibitor,AZARIBINE,psoriasis vulgaris,1,1,immune system disorder,APPROVAL,1
PARP1,INHIBITOR,"PARP 1, 2 and 3 inhibitor; Poly [ADP-ribose] polymerase 2 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor; Poly [ADP-ribose] polymerase 2 inhibitor",NIRAPARIB; OLAPARIB; RUCAPARIB; TALAZOPARIB; VELIPARIB,B-cell chronic lymphocytic leukemia; T-cell prolymphocytic leukemia; acute myeloid leukemia; mantle cell lymphoma; myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; psoriatic arthritis,5,8,immune system disorder,APPROVAL,1
ACE,INHIBITOR,Angiotensin-converting enzyme inhibitor,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; RAMIPRIL,Henoch-Schoenlein purpura; myeloproliferative neoplasm; primary myelofibrosis; rheumatoid arthritis; systemic lupus erythematosus; type 1 diabetes mellitus,3,6,immune system disorder,APPROVAL,1
EEF1A2,INHIBITOR,Elongation factor 1-alpha 2 inhibitor,PLITIDEPSIN,acute myeloid leukemia; myelofibrosis; plasma cell myeloma,1,3,immune system disorder,APPROVAL,1
GRIA1,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
AKT3,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,CAPIVASERTIB,follicular lymphoma; mantle cell lymphoma; marginal zone lymphoma; plasma cell myeloma,1,4,immune system disorder,APPROVAL,1
DDC,INHIBITOR,DOPA decarboxylase inhibitor,CARBIDOPA,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRB3,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRB3,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRB3,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
CACNA1S,BLOCKER,Voltage-gated L-type calcium channel blocker,VERAPAMIL,type 1 diabetes mellitus,1,1,immune system disorder,APPROVAL,1
CACNA1S,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
ESR2,MODULATOR,Estrogen receptor beta modulator; Estrogen receptor modulator,BAZEDOXIFENE; BAZEDOXIFENE ACETATE; ESTRIOL; RALOXIFENE HYDROCHLORIDE,multiple sclerosis; relapsing-remitting multiple sclerosis; rheumatoid arthritis,4,3,immune system disorder,APPROVAL,1
ESR2,AGONIST,Estrogen receptor agonist,"ESTROGENS, CONJUGATED",multiple sclerosis; systemic lupus erythematosus,1,2,immune system disorder,APPROVAL,1
BCL2L2-PABPN1,INHIBITOR,Apoptosis regulator Bcl-W inhibitor; Apoptosis regulator Bcl-X inhibitor; Apoptosis regulator Bcl-2 inhibitor,NAVITOCLAX,B-cell chronic lymphocytic leukemia; acute myeloid leukemia; diffuse large B-cell lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; myelofibrosis,1,6,immune system disorder,APPROVAL,1
CACNB2,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
GART,INHIBITOR,Dihydrofolate reductase inhibitor; GAR transformylase inhibitor; Thymidylate synthase inhibitor; GAR transformylase inhibitor; Dihydrofolate reductase inhibitor; Thymidylate synthase inhibitor,PEMETREXED; PEMETREXED DISODIUM,diffuse large B-cell lymphoma; metastatic malignant neoplasm in the lymph nodes; primary central nervous system lymphoma; primary myelofibrosis; thymic carcinoma; thymoma,2,6,immune system disorder,APPROVAL,1
TBXA2R,ANTAGONIST,Thromboxane A2 receptor antagonist,SERATRODAST,allergic asthma,1,1,immune system disorder,APPROVAL,1
GABRA4,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRA4,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRA4,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRG2,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRG2,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRG2,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRA2,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRA2,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRA2,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
EPHA1,INHIBITOR,Ephrin receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,VANDETANIB,acute myeloid leukemia; plasma cell myeloma,1,2,immune system disorder,APPROVAL,1
CACNA1F,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNA1F,BLOCKER,Voltage-gated L-type calcium channel blocker,VERAPAMIL,type 1 diabetes mellitus,1,1,immune system disorder,APPROVAL,1
CACNA2D3,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
EPHA3,INHIBITOR,Ephrin receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,VANDETANIB,acute myeloid leukemia; plasma cell myeloma,1,2,immune system disorder,APPROVAL,1
PPARA,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,FENOFIBRATE,plasma cell myeloma; type 1 diabetes mellitus; ulcerative colitis,1,3,immune system disorder,APPROVAL,1
PAH,ACTIVATOR,Phenylalanine-4-hydroxylase activator,SAPROPTERIN,systemic sclerosis,1,1,immune system disorder,APPROVAL,1
PDE9A,ANTAGONIST; INHIBITOR,"Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor",PENTOXIFYLLINE,AIDS; inflammatory bowel disease; lymphedema; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis,1,6,immune system disorder,APPROVAL,1
PDE9A,INHIBITOR,"3',5'-cyclic phosphodiesterase inhibitor; Equilibrative nucleoside transporter 1 inhibitor",DIPYRIDAMOLE,rheumatoid arthritis,1,1,immune system disorder,APPROVAL,1
TOP1,INHIBITOR,DNA topoisomerase I inhibitor,IRINOTECAN; IRINOTECAN HYDROCHLORIDE; TOPOTECAN; TOPOTECAN HYDROCHLORIDE,"B-cell chronic lymphocytic leukemia; Waldenstrom macroglobulinemia; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; neutropenia; plasma cell myeloma; primary central nervous system lymphoma",4,7,immune system disorder,APPROVAL,1
TOP1,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; DNA topoisomerase I inhibitor; Tumor-associated calcium signal transducer 2 binding agent; DNA topoisomerase I inhibitor,SACITUZUMAB GOVITECAN; TRASTUZUMAB DERUXTECAN,neutropenia; thymic carcinoma; thymoma,2,3,immune system disorder,APPROVAL,1
PDE1A,ANTAGONIST; INHIBITOR,"Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor",PENTOXIFYLLINE,AIDS; inflammatory bowel disease; lymphedema; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis,1,6,immune system disorder,APPROVAL,1
PDE1A,INHIBITOR,"3',5'-cyclic phosphodiesterase inhibitor; Equilibrative nucleoside transporter 1 inhibitor",DIPYRIDAMOLE,rheumatoid arthritis,1,1,immune system disorder,APPROVAL,1
CACNG3,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
TYMS,INHIBITOR,Dihydrofolate reductase inhibitor; GAR transformylase inhibitor; Thymidylate synthase inhibitor; GAR transformylase inhibitor; Dihydrofolate reductase inhibitor; Thymidylate synthase inhibitor; Thymidylate synthase inhibitor,CAPECITABINE; FLUOROURACIL; PEMETREXED; PEMETREXED DISODIUM,B-cell chronic lymphocytic leukemia; Waldenstrom macroglobulinemia; acute myeloid leukemia; diffuse large B-cell lymphoma; metastatic malignant neoplasm in the lymph nodes; neutropenia; plasma cell myeloma; primary central nervous system lymphoma; primary myelofibrosis; thymic carcinoma; thymic neuroendocrine tumor; thymoma; vitiligo,4,13,immune system disorder,APPROVAL,1
GMPS,INHIBITOR,GMP synthase [glutamine-hydrolyzing] inhibitor; Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,MIZORIBINE,rheumatoid arthritis,1,1,immune system disorder,APPROVAL,1
GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRE,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRE,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRE,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
CACNB1,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRA3,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRA3,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRA3,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
ABCC8,BLOCKER,"Sulfonylurea receptor 1, Kir6.2 blocker",GLICLAZIDE; GLYBURIDE; REPAGLINIDE,latent autoimmune diabetes in adults; psoriasis; type 1 diabetes mellitus,3,3,immune system disorder,APPROVAL,1
EPHA6,INHIBITOR,Ephrin receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,VANDETANIB,acute myeloid leukemia; plasma cell myeloma,1,2,immune system disorder,APPROVAL,1
TEK,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Ephrin receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,REGORAFENIB; VANDETANIB,acute myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; thymic carcinoma; thymoma,2,5,immune system disorder,APPROVAL,1
CA12,INHIBITOR,Carbonic anhydrase I inhibitor; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; Carbonic anhydrase XII inhibitor,ACETAZOLAMIDE,multiple sclerosis; type 1 diabetes mellitus,1,2,immune system disorder,APPROVAL,1
CFTR,BLOCKER; INHIBITOR,Anoctamin-1 blocker; Cystic fibrosis transmembrane conductance regulator inhibitor,CROFELEMER,AIDS,1,1,immune system disorder,APPROVAL,1
ADORA1,AGONIST,Adenosine receptor agonist,ADENOSINE,B-cell chronic lymphocytic leukemia; combined immunodeficiency; severe combined immunodeficiency; type 1 diabetes mellitus,1,4,immune system disorder,APPROVAL,1
ADORA1,ANTAGONIST,Adenosine receptor antagonist,CAFFEINE,acute myeloid leukemia; atopic eczema,1,2,immune system disorder,APPROVAL,1
ADORA1,AGONIST; ANTAGONIST; ACTIVATOR,Adenosine A2 receptor agonist; Thrombin antagonist; Plasminogen activator; Adenosine A1 receptor agonist,DEFIBROTIDE,Kawasaki disease; plasma cell myeloma,1,2,immune system disorder,APPROVAL,1
ADORA1,INHIBITOR; ANTAGONIST,Phosphodiesterase 4 inhibitor; Adenosine receptor antagonist; Phosphodiesterase 3 inhibitor,THEOPHYLLINE,B-cell chronic lymphocytic leukemia; allergic rhinitis,1,2,immune system disorder,APPROVAL,1
ADORA1,ANTAGONIST; INHIBITOR,Adenosine receptor antagonist; Phosphodiesterase 3 inhibitor; Phosphodiesterase 4 inhibitor,AMINOPHYLLINE,B-cell chronic lymphocytic leukemia,1,1,immune system disorder,APPROVAL,1
PARP2,INHIBITOR,"PARP 1, 2 and 3 inhibitor; Poly [ADP-ribose] polymerase 2 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor; Poly [ADP-ribose] polymerase 2 inhibitor",NIRAPARIB; OLAPARIB; RUCAPARIB; TALAZOPARIB; VELIPARIB,B-cell chronic lymphocytic leukemia; T-cell prolymphocytic leukemia; acute myeloid leukemia; mantle cell lymphoma; myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; psoriatic arthritis,5,8,immune system disorder,APPROVAL,1
CACNA1H,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
OPRK1,AGONIST,Kappa opioid receptor agonist,DIFELIKEFALIN,atopic eczema,1,1,immune system disorder,APPROVAL,1
OPRK1,ANTAGONIST,Opioid receptors; mu/kappa/delta antagonist,NALTREXONE,Crohn disease; atopic eczema; inflammatory bowel disease; lupus erythematosus; multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome; psoriasis; rheumatoid arthritis; systemic lupus erythematosus,1,9,immune system disorder,APPROVAL,1
PDE1B,ANTAGONIST; INHIBITOR,"Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor",PENTOXIFYLLINE,AIDS; inflammatory bowel disease; lymphedema; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis,1,6,immune system disorder,APPROVAL,1
PDE1B,INHIBITOR,"3',5'-cyclic phosphodiesterase inhibitor; Equilibrative nucleoside transporter 1 inhibitor",DIPYRIDAMOLE,rheumatoid arthritis,1,1,immune system disorder,APPROVAL,1
HTR1A,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,BUSPIRONE,systemic sclerosis,1,1,immune system disorder,APPROVAL,1
OPRD1,ANTAGONIST,Opioid receptors; mu/kappa/delta antagonist,NALTREXONE,Crohn disease; atopic eczema; inflammatory bowel disease; lupus erythematosus; multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome; psoriasis; rheumatoid arthritis; systemic lupus erythematosus,1,9,immune system disorder,APPROVAL,1
GRIA2,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
SSTR2,AGONIST,Somatostatin receptor 2 agonist; Somatostatin receptor 3 agonist; Somatostatin receptor 1 agonist; Somatostatin receptor 5 agonist; Somatostatin receptor agonist,OCTREOTIDE; OCTREOTIDE ACETATE; PASIREOTIDE,Chylothorax; plasma cell myeloma; thymoma,3,3,immune system disorder,APPROVAL,1
SSTR2,BINDING AGENT,Somatostatin receptor binding agent,LUTETIUM OXODOTREOTIDE LU-177,thymic neuroendocrine tumor,1,1,immune system disorder,APPROVAL,1
TGFB3,INHIBITOR,Transforming growth factor beta inhibitor,LUSPATERCEPT,autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; myelofibrosis; primary myelofibrosis,1,4,immune system disorder,APPROVAL,1
GRIK5,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
