gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
CTPS2,0.5137754082679749,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,70,Stim48hr
TBC1D10C,0.5117456316947937,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,101,Stim48hr
NDUFB2,0.511201024055481,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,True,195,Stim48hr
PDCD5,0.5111202001571655,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,510,Stim48hr
NDUFC1,0.5088332295417786,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,207,Stim48hr
TMEM263,0.5059115290641785,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,221,Stim48hr
PPP3R1,0.5052986741065979,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,377,Stim48hr
MRM2,0.503636360168457,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,116,Stim48hr
ATP5F1E,0.5032249093055725,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,289,Stim48hr
NGRN,0.5030529499053955,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,218,Stim48hr
QRSL1,0.5019171833992004,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,241,Stim48hr
CAMSAP1,0.5002915263175964,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,375,Stim48hr
PARK7,0.4997007548809051,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,186,Stim48hr
PITRM1,0.4993024170398712,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,481,Stim48hr
SENP5,0.4985730350017547,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,1597,Stim48hr
NDFIP2,0.4967763125896454,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,168,Stim48hr
SLIRP,0.495450496673584,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,143,Stim48hr
KNOP1,0.4952065348625183,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,133,Stim48hr
MITD1,0.4948509633541107,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,253,Stim48hr
NFU1,0.4947526752948761,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,256,Stim48hr
COQ6,0.4941234290599823,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,459,Stim48hr
SND1,0.4936839342117309,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,271,Stim48hr
PKN3,0.4919951558113098,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,174,Stim48hr
ECSIT,0.4910296499729156,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,440,Stim48hr
BCAT2,0.4909355342388153,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,294,Stim48hr
RBFA,0.4898479580879211,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,693,Stim48hr
FARS2,0.4889458119869232,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,320,Stim48hr
HTT,0.4883212149143219,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,200,Stim48hr
MTCH2,0.4880589544773102,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,484,Stim48hr
GNE,0.4880184829235077,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,273,Stim48hr
OAZ3,0.4873648285865783,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,200,Stim48hr
WDR54,0.4867895245552063,CD2,ALEFACEPT,False,237,Stim48hr
NDUFB9,0.4863976538181305,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,196,Stim48hr
NDUFAF4,0.4856513440608978,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,100,Stim48hr
DOP1B,0.485624611377716,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,1675,Stim48hr
STIP1,0.4839745759963989,AHR,TAPINAROF,False,820,Stim48hr
CNOT6L,0.4838634729385376,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,152,Stim48hr
C2orf15,0.483401358127594,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,266,Stim48hr
UBIAD1,0.4804131090641022,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,168,Stim48hr
