gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
CTSW,0.1155570521950721,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,17,Stim48hr
TMEM102,0.1155264005064964,GSK3A,LITHIUM CARBONATE; LITHIUM CITRATE,False,18,Stim48hr
CAMSAP2,0.1154737249016761,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,15,Stim48hr
ADPGK,0.1154734566807746,TNF,ADALIMUMAB; AFELIMOMAB; CERTOLIZUMAB PEGOL; ETANERCEPT; GOLIMUMAB; INFLIXIMAB; OZORALIZUMAB,False,6,Stim48hr
GNPTG,0.1154234558343887,PIK3CD,COPANLISIB; COPANLISIB HYDROCHLORIDE; DUVELISIB; DUVELISIB MONOHYDRATE; IDELALISIB; LENIOLISIB; LENIOLISIB PHOSPHATE; PARSACLISIB; UMBRALISIB; UMBRALISIB TOSYLATE,False,28,Stim48hr
SPG7,0.1154041215777397,KCNQ5,AMIFAMPRIDINE; AMIFAMPRIDINE PHOSPHATE; DALFAMPRIDINE; EZOGABINE; GUANIDINE HYDROCHLORIDE; TEDISAMIL,False,31,Stim48hr
MAN1B1,0.1153666898608207,PRKAB1,ACADESINE,False,19,Stim48hr
JPT2,0.1153411269187927,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,22,Stim48hr
CDK17,0.1152991354465484,PARP1,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; OLAPARIB; PAMIPARIB; RUCAPARIB; RUCAPARIB CAMSYLATE; TALAZOPARIB; TALAZOPARIB TOSYLATE; VELIPARIB,False,24,Stim48hr
ADRM1,0.1152861565351486,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,True,82,Stim48hr
ANO8,0.1152845472097396,PIK3CD,COPANLISIB; COPANLISIB HYDROCHLORIDE; DUVELISIB; DUVELISIB MONOHYDRATE; IDELALISIB; LENIOLISIB; LENIOLISIB PHOSPHATE; PARSACLISIB; UMBRALISIB; UMBRALISIB TOSYLATE,False,12,Stim48hr
GOT2,0.115256555378437,CCR5,MARAVIROC,False,18,Stim48hr
TUBA1C,0.1152536571025848,NDUFC1,METFORMIN; METFORMIN HYDROCHLORIDE,True,28,Stim48hr
SWI5,0.1152317747473716,VKORC1,ACENOCOUMAROL; DICUMAROL; PHENINDIONE; PHENPROCOUMON; WARFARIN; WARFARIN SODIUM,False,7,Stim48hr
DUSP19,0.1152219623327255,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,10,Stim48hr
ATG2A,0.115163005888462,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,41,Stim48hr
SNX14,0.1151358112692833,PRKCA,MIDOSTAURIN,False,34,Stim48hr
GRAMD2B,0.1150050535798072,PRKAG1,ACADESINE,False,16,Stim48hr
CD83,0.1149948835372924,ODC1,EFLORNITHINE; EFLORNITHINE HYDROCHLORIDE,False,24,Stim48hr
DYNLT3,0.1149815469980239,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,7,Stim48hr
DNAJB1,0.1149582341313362,AHR,TAPINAROF,False,22,Stim48hr
MKS1,0.114916056394577,IL6ST,SATRALIZUMAB,False,43,Stim48hr
SELENOF,0.1148942112922668,GPD2,METFORMIN; METFORMIN HYDROCHLORIDE,False,48,Stim48hr
RP2,0.114872820675373,NDUFA4,,False,27,Stim48hr
TM9SF3,0.1147000417113304,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,124,Stim48hr
CHAC2,0.1146553978323936,CCR5,MARAVIROC,False,40,Stim48hr
NCKIPSD,0.1145692840218544,CD2,ALEFACEPT,False,28,Stim48hr
FZD3,0.1145067438483238,NDUFB2,METFORMIN; METFORMIN HYDROCHLORIDE,False,31,Stim48hr
ZNF362,0.1144849881529808,ACVR1,DIBOTERMIN ALFA; EPTOTERMIN ALFA; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE,False,29,Stim48hr
FKBP5,0.114482581615448,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,33,Stim48hr
YIPF2,0.1144329980015754,PDE6D,DIPYRIDAMOLE; PENTOXIFYLLINE,False,31,Stim48hr
MAIP1,0.1144020780920982,ATP1B3,ACETYLDIGITOXIN; DESLANOSIDE; DIGITOXIN; DIGOXIN; LANATOSIDE C,False,34,Stim48hr
ACVR1C,0.1143844872713089,NDUFV2,METFORMIN; METFORMIN HYDROCHLORIDE,False,23,Stim48hr
SPICE1,0.114355981349945,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,26,Stim48hr
ZMYM4,0.1143004149198532,EML4,ALECTINIB; ALECTINIB HYDROCHLORIDE; CERITINIB; CRIZOTINIB; LORLATINIB,False,29,Stim48hr
NFXL1,0.114270269870758,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,22,Stim48hr
AKAP9,0.1142628416419029,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,18,Stim48hr
B4GALT7,0.1142552644014358,TYK2,DELGOCITINIB; DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; RUXOLITINIB; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,False,23,Stim48hr
LST1,0.1142429858446121,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,19,Stim48hr
CEP41,0.1142279580235481,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,28,Stim48hr
MRM1,0.1141377091407775,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,32,Stim48hr
IRGQ,0.1141029298305511,PIK3CG,DUVELISIB; DUVELISIB MONOHYDRATE,False,39,Stim48hr
SLC10A7,0.1140530779957771,PDE7B,DIPYRIDAMOLE; FLAVOXATE; FLAVOXATE HYDROCHLORIDE; PENTOXIFYLLINE,False,40,Stim48hr
GOLGA2,0.1140338778495788,PSMB8,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,20,Stim48hr
LMAN2L,0.1139905229210853,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,24,Stim48hr
RWDD1,0.113976739346981,PRKCH,MIDOSTAURIN,False,70,Stim48hr
MBTD1,0.1139653176069259,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,12,Stim48hr
VKORC1L1,0.1139450669288635,CD2,ALEFACEPT,False,44,Stim48hr
PPP2CB,0.1139145791530609,GSK3A,LITHIUM CARBONATE; LITHIUM CITRATE,False,30,Stim48hr
DNAJB12,0.1138561144471168,PIK3CG,DUVELISIB; DUVELISIB MONOHYDRATE,False,20,Stim48hr
CYBA,0.1138072311878204,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,24,Stim48hr
MIF,0.113802284002304,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,True,19,Stim48hr
TMEM167B,0.1137854754924774,CD2,ALEFACEPT,False,18,Stim48hr
PPP1R9B,0.1137053295969963,HDAC6,BELINOSTAT; ENTINOSTAT; GIVINOSTAT; GIVINOSTAT HYDROCHLORIDE; PANOBINOSTAT; PANOBINOSTAT LACTATE; ROMIDEPSIN; VORINOSTAT,False,70,Stim48hr
BRPF3,0.1136949360370636,APH1B,NIROGACESTAT; NIROGACESTAT HYDROBROMIDE,False,25,Stim48hr
MLH1,0.1136744394898414,GPD2,METFORMIN; METFORMIN HYDROCHLORIDE,False,30,Stim48hr
RIOX1,0.113632932305336,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,23,Stim48hr
SWAP70,0.1136140748858451,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,10,Stim48hr
BTBD3,0.11359603703022,ITGAL,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB,False,18,Stim48hr
DNAJC12,0.1135834604501724,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,23,Stim48hr
ASAH1,0.1135752946138382,TYK2,DELGOCITINIB; DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; RUXOLITINIB; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,False,26,Stim48hr
GRN,0.1135474368929863,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,23,Stim48hr
LEMD2,0.11353050917387,PRKAB1,ACADESINE,False,21,Stim48hr
RABEP1,0.1135028526186943,RARA,ACITRETIN; ADAPALENE; ALITRETINOIN; ETRETINATE; ISOTRETINOIN; TAZAROTENE; TRETINOIN,False,50,Stim48hr
RBM6,0.1134932935237884,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,78,Stim48hr
PDCD6,0.113456979393959,NDUFA6,METFORMIN; METFORMIN HYDROCHLORIDE,False,16,Stim48hr
UBE2D4,0.1134498640894889,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,29,Stim48hr
PUS3,0.1132761314511299,PNP,FORODESINE HYDROCHLORIDE,False,25,Stim48hr
SPHK2,0.1132533699274063,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,23,Stim48hr
TMEM116,0.1132342740893364,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,12,Stim48hr
FAN1,0.1131891906261444,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,13,Stim48hr
BTN3A2,0.1131816580891609,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,17,Stim48hr
H2BC9,0.1131776943802833,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,26,Stim48hr
SECISBP2,0.1131342276930809,GSK3A,LITHIUM CARBONATE; LITHIUM CITRATE,False,24,Stim48hr
ODF2,0.1131034046411514,PRKCA,MIDOSTAURIN,False,14,Stim48hr
CSTB,0.1131010502576828,NDUFA13,METFORMIN; METFORMIN HYDROCHLORIDE,False,28,Stim48hr
PHF1,0.1130934953689575,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,17,Stim48hr
MORC4,0.113084889948368,SIGMAR1,CARBETAPENTANE; CARBETAPENTANE CITRATE; DEXTROMETHORPHAN; DEXTROMETHORPHAN HYDROBROMIDE; DEXTROMETHORPHAN POLISTIREX; FENFLURAMINE; FENFLURAMINE HYDROCHLORIDE; PENTAZOCINE; PENTAZOCINE HYDROCHLORIDE,False,16,Stim48hr
PARP11,0.1130629405379295,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,11,Stim48hr
FNBP1,0.1130053997039794,NDUFB8,METFORMIN; METFORMIN HYDROCHLORIDE,False,41,Stim48hr
KCNK5,0.1129933595657348,APH1B,NIROGACESTAT; NIROGACESTAT HYDROBROMIDE,False,39,Stim48hr
BAZ2A,0.1129707470536232,AHR,TAPINAROF,False,21,Stim48hr
ACAA2,0.1129592359066009,CD2,ALEFACEPT,False,19,Stim48hr
SMDT1,0.1129380315542221,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,32,Stim48hr
ZXDC,0.1129326894879341,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,18,Stim48hr
AFTPH,0.1129023358225822,CSF2RB,SARGRAMOSTIM,False,32,Stim48hr
CHI3L2,0.1128939688205719,PRKAB1,ACADESINE,False,21,Stim48hr
USP53,0.1128862649202346,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,19,Stim48hr
TRAF2,0.112872876226902,CXCR4,MAVORIXAFOR; MOTIXAFORTIDE; PLERIXAFOR,False,90,Stim48hr
ZNF346,0.1128356605768203,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,25,Stim48hr
PDIK1L,0.1128197982907295,PRKCQ,MIDOSTAURIN,False,20,Stim48hr
TMSB15B,0.1128117814660072,NDUFA4,,False,21,Stim48hr
ST3GAL5,0.1128041222691536,NDUFS2,METFORMIN; METFORMIN HYDROCHLORIDE,False,14,Stim48hr
TMEM170A,0.1127463430166244,TEC,RITLECITINIB; RITLECITINIB TOSYLATE,False,35,Stim48hr
NELFCD,0.1126793622970581,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,144,Stim48hr
TMEM35B,0.1126702278852462,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,31,Stim48hr
STN1,0.1126335859298706,PRKAG1,ACADESINE,False,39,Stim48hr
SLC38A9,0.112626701593399,PDE3B,AMINOPHYLLINE; ANAGRELIDE; ANAGRELIDE HYDROCHLORIDE; DIPYRIDAMOLE; ENOXIMONE; ENSIFENTRINE; LEVOSIMENDAN; OXTRIPHYLLINE; PENTOXIFYLLINE; THEOPHYLLINE,False,17,Stim48hr
HSPA14,0.1125686690211296,VKORC1,ACENOCOUMAROL; DICUMAROL; PHENINDIONE; PHENPROCOUMON; WARFARIN; WARFARIN SODIUM,False,43,Stim48hr
PUS7,0.1125450730323791,PRKCA,MIDOSTAURIN,False,23,Stim48hr
ASCC1,0.1125273331999778,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,41,Stim48hr
SLC25A5,0.1124792322516441,TYK2,DELGOCITINIB; DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; RUXOLITINIB; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,False,14,Stim48hr
GATD1,0.1124696433544159,BCR,ASCIMINIB; ASCIMINIB HYDROCHLORIDE; BOSUTINIB; BOSUTINIB MONOHYDRATE; DASATINIB; DASATINIB ANHYDROUS; IMATINIB; IMATINIB MESYLATE; NILOTINIB; NILOTINIB HYDROCHLORIDE MONOHYDRATE; PONATINIB; PONATINIB HYDROCHLORIDE,False,7,Stim48hr
GSK3B,0.1124588474631309,BRD3,PELABRESIB,True,32,Stim48hr
ZNF707,0.1124101653695106,PRKCA,MIDOSTAURIN,False,13,Stim48hr
BIN1,0.1123922616243362,AHR,TAPINAROF,False,16,Stim48hr
KIAA1328,0.1123788133263588,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,18,Stim48hr
TMEM115,0.1123409122228622,BRD2,PELABRESIB,False,26,Stim48hr
BCL7B,0.1123381480574607,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,10,Stim48hr
CLN6,0.1122993007302284,IL23A,BRIAKINUMAB; GUSELKUMAB; MIRIKIZUMAB; RISANKIZUMAB; TILDRAKIZUMAB; USTEKINUMAB,False,15,Stim48hr
C15orf61,0.1122917756438255,PRKCA,MIDOSTAURIN,False,32,Stim48hr
GAB3,0.1121025010943412,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,20,Stim48hr
DCP1B,0.1120871379971504,GPD2,METFORMIN; METFORMIN HYDROCHLORIDE,False,31,Stim48hr
PITHD1,0.112060859799385,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,34,Stim48hr
IFRD1,0.1120558828115463,PDE6D,DIPYRIDAMOLE; PENTOXIFYLLINE,False,15,Stim48hr
TMEM187,0.1120226606726646,AHR,TAPINAROF,False,16,Stim48hr
DHRS7B,0.1119908690452575,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,11,Stim48hr
IRAK4,0.111981064081192,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,26,Stim48hr
FLNB,0.111944556236267,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,15,Stim48hr
GCC2,0.1118879169225692,ITGB2,EFALIZUMAB; LIFITEGRAST,False,11,Stim48hr
PPID,0.1118834167718887,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,30,Stim48hr
TEX30,0.1118725016713142,AHR,TAPINAROF,False,18,Stim48hr
USP11,0.1118422076106071,IDH2,ENASIDENIB MESYLATE; VORASIDENIB,False,17,Stim48hr
TOLLIP,0.1118401810526847,IL4R,DUPILUMAB,False,29,Stim48hr
TOE1,0.111815869808197,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,115,Stim48hr
IQCB1,0.1117953732609748,PPP3CA,VOCLOSPORIN,False,8,Stim48hr
COTL1,0.1115957796573638,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,19,Stim48hr
IL17RA,0.1115734651684761,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,True,25,Stim48hr
STC2,0.1115656271576881,IL17RA,BRODALUMAB,False,23,Stim48hr
ARF3,0.1115140542387962,PRKAB2,ACADESINE,False,24,Stim48hr
FUOM,0.1115075126290321,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,18,Stim48hr
ALAS1,0.1114936098456382,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,61,Stim48hr
SETBP1,0.1114401221275329,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,21,Stim48hr
FASLG,0.11136344820261,PRKCA,MIDOSTAURIN,False,16,Stim48hr
ERMP1,0.1113529652357101,PRKCA,MIDOSTAURIN,False,50,Stim48hr
UBE2H,0.1113084182143211,CD2,ALEFACEPT,False,90,Stim48hr
IFRD2,0.1112898141145706,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,35,Stim48hr
TMEM200A,0.1112585365772247,ITGAL,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB,False,19,Stim48hr
DUSP3,0.1111135631799697,IL4R,DUPILUMAB,False,14,Stim48hr
SBNO1,0.1110788509249687,PDE6D,DIPYRIDAMOLE; PENTOXIFYLLINE,False,88,Stim48hr
AGO3,0.1110745817422866,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,20,Stim48hr
PILRB,0.1110549867153167,HDAC2,BELINOSTAT; ENTINOSTAT; GIVINOSTAT; GIVINOSTAT HYDROCHLORIDE; PANOBINOSTAT; PANOBINOSTAT LACTATE; ROMIDEPSIN; VORINOSTAT,False,20,Stim48hr
ANKRD52,0.1110485419631004,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,46,Stim48hr
PLA2G4A,0.1110050529241561,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,27,Stim48hr
SPNS1,0.1110034584999084,PSMB10,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,23,Stim48hr
STRAP,0.1109935194253921,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,532,Stim48hr
