gene,rest_coef_beta,rest_se_beta,rest_signed_log10p,stim8hr_coef_beta,stim8hr_se_beta,stim8hr_signed_log10p,stim48hr_coef_beta,stim48hr_se_beta,stim48hr_signed_log10p
DNAAF2,0.0146271052661689,0.0095493194974912,0.900958506484258,-0.0124694622280228,0.0094956378020451,-0.7231925697717896,-0.013833077386426,0.0095548780351404,-0.8305729626406121
DNAAF5,-0.0128314331335678,0.0095520930853635,-0.7466635343742579,0.0076933225529006,0.0095065760744772,0.3784277274179077,-0.0121498271152637,0.009557873349888,-0.6910301741153012
DNAAF9,0.0024963683765883,0.0095491222124171,0.1003049761701902,0.0161185605517356,0.0094955225112217,1.0475353639932017,-0.0129804289627829,0.0095555173153365,-0.75855822057931
DNAI2,-0.0032745677128115,0.0095493859201508,-0.135682507970977,-0.0137317045423611,0.0094998685981559,-0.8286931912736208,0.0062745355893136,0.0095556049884395,0.2912136362409219
DNAI3,-0.0070935844302183,0.0095558497011286,-0.3392254645630286,-0.0109409464598679,0.0094964911376529,-0.6032717761926745,-0.0153147171968422,0.0095536886200065,-0.962731997049412
DNAJA1,-0.0044787213852858,0.0095501065959526,-0.1944312367606214,-0.0144959646139592,0.0094962647869883,-0.896482166153729,-0.0111345037697056,0.0095546351002669,-0.6127835991519339
DNAJA2,-0.0010588351341402,0.0095513843253776,-0.0401327929802016,-0.0174499805976292,0.0094951426997135,-1.1796545833176286,-0.0193219851897752,0.0095534629609399,-1.3650384472860542
DNAJA4,0.0012274037577138,0.0095488887064593,0.0468567328425128,-0.0021326535443003,0.0094974766380854,-0.0849517815924052,0.0002263141644851,0.0095567919891203,0.008283397051177
DNAJB1,0.0109333796539711,0.009548389261226,0.598231022673472,-0.0031063548798324,0.0094963036957199,-0.1286667970130909,0.0098843262542653,0.0095571609094921,0.5213605455137785
DNAJB11,-0.0135112129091805,0.0095484899232746,-0.8038399570855976,-0.0028428723964085,0.0094970818829739,-0.1165174097609936,-0.0116240935726584,0.0095561938985081,-0.6500206012274957
DNAJB12,0.0066562570915851,0.0095488051856618,0.3135699774508638,-0.0007746687595635,0.0094964861289224,-0.0291945364664946,-0.0062370443636163,0.009555128715706,-0.2890911661327702
DNAJB14,0.0010055087512497,0.0095528351817859,0.0380223532050783,0.0198305233136542,0.0094952133681592,1.4344125130464302,0.0003883462103142,0.0095559588274981,0.0143111837342402
