rank	gene	gene_id	pu_score	label_all	label_immune	label_status	family	gwas_present	perturbseq_measured	polarization_measured	oob_models
261	KSR2	ENSG00000171435	0.927573	0	0	unlabeled	HGNC:1157	1	0	0	99
262	LILRB3	ENSG00000204577	0.927458	0	0	unlabeled	HGNC:471	1	0	0	99
263	TYRO3	ENSG00000092445	0.927146	0	0	unlabeled	HGNC:555	1	0	0	99
264	KCTD1	ENSG00000134504	0.927025	0	0	unlabeled	HGNC:861	1	0	0	98
265	CDK6	ENSG00000105810	0.926985	1	1	positive	HGNC:496	1	1	0	0
266	TMEM151B	ENSG00000178233	0.926929	0	0	unlabeled	PFX:TME	1	0	0	99
267	PRDM11	ENSG00000019485	0.926880	0	0	unlabeled	HGNC:1197	1	0	0	98
268	FGFR2	ENSG00000066468	0.926877	1	1	positive	HGNC:471	1	0	0	0
269	IGF2BP2	ENSG00000073792	0.926789	0	0	unlabeled	HGNC:725	1	0	0	96
270	KCNB2	ENSG00000182674	0.926547	1	1	positive	HGNC:274	1	0	0	0
271	PAPOLG	ENSG00000115421	0.926515	0	0	unlabeled	PFX:PAP	1	1	0	99
272	ANKRD36C	ENSG00000174501	0.926470	0	0	unlabeled	HGNC:403	1	0	0	98
273	HECW1	ENSG00000002746	0.926346	0	0	unlabeled	HGNC:823	1	0	0	98
274	PPARG	ENSG00000132170	0.926324	1	1	positive	HGNC:2071	1	1	0	0
275	TICAM1	ENSG00000127666	0.926313	0	0	unlabeled	HGNC:1296	1	1	0	98
276	RIPOR2	ENSG00000111913	0.926291	0	0	unlabeled	HGNC:1492	1	0	0	97
277	SYT1	ENSG00000067715	0.926169	0	0	unlabeled	HGNC:765	1	0	0	99
278	CD163L1	ENSG00000177675	0.926151	0	0	unlabeled	HGNC:1253	1	0	0	99
279	PLCG2	ENSG00000197943	0.925836	0	0	unlabeled	HGNC:467	1	1	0	98
280	DRD2	ENSG00000149295	0.925767	1	1	positive	HGNC:181	1	0	0	0
