symbol	gene_group	gene_group_id
ADORA3	Adenosine receptors|V-set domain containing	211|590
ADPGK		
ADPGK-AS1	Antisense RNAs	1987
ADPRH		
ADPRH-AS1	Antisense RNAs	1987
ADPRHL1		
ADPRM	Sugar phosphatases	1073
ADPRS		
ADRA1A	Adrenoceptors	169
ADRA1B	Adrenoceptors	169
ADRA1D	Adrenoceptors	169
ADRA2A	Adrenoceptors	169
ADRA2B	Adrenoceptors	169
ADRA2C	Adrenoceptors	169
ADRB1	Adrenoceptors	169
ADRB2	Adrenoceptors	169
ADRB3	Adrenoceptors	169
ADRM1	Proteasome	690
ADSL	Purinosome|Carbon-nitrogen lyases	1569|3927
ADSS1		
ADSS2		
ADTRP		
AEBP1	M14 carboxypeptidases|MicroRNA protein coding host genes	1321|1691
AEBP2	Zinc fingers C2H2-type	28
AEN	Exonucleases|MicroRNA protein coding host genes	544|1691
AFAP1	Pleckstrin homology domain containing	682
AFAP1-AS1	Antisense RNAs	1987
AFAP1-AS2	Antisense RNAs	1987
AFAP1L1	Pleckstrin homology domain containing	682
AFAP1L2	Pleckstrin homology domain containing	682
AFDN	PDZ domain containing	1220
AFDN-DT	Divergent transcripts	1990
AFF1	AF4/FMR2 family|Super elongation complex	1145|1280
AFF1-AS1	Antisense RNAs	1987
AFF2	AF4/FMR2 family|Super elongation complex	1145|1280
AFF2-IT1	Intronic transcripts	1989
AFF3	AF4/FMR2 family|Super elongation complex	1145|1280
AFF4	AF4/FMR2 family|Super elongation complex	1145|1280
AFF4-DT	Divergent transcripts	1990
AFF4P1		
AFG1L		
AFG2A	AAA ATPases	413
AFG2B	AAA ATPases	413
AFG3L1P	AAA ATPases|Unitary pseudogenes	413|3418
AFG3L2	AAA ATPases	413
AFG3L2P1		
AFM	Albuminoid family	1620
AFMID		
AFP	Albuminoid family	1620
AFTPH	MicroRNA protein coding host genes	1691
AFTPH-DT	Divergent transcripts	1990
AGA		
AGA-DT	Divergent transcripts	1990
AGAP1	ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing	395|403|1291
AGAP1-IT1	Intronic transcripts	1989
