Target (Gene),Drug Name,maxClinicalStage
MAP2K1,COBIMETINIB FUMARATE,APPROVAL
MAP2K1,TRAMETINIB,APPROVAL
FGFR3,NINTEDANIB ESYLATE,APPROVAL
FGFR3,PAZOPANIB,APPROVAL
FGFR3,INFIGRATINIB PHOSPHATE,APPROVAL
FGFR3,E-7090,APPROVAL
FGFR3,PAZOPANIB HYDROCHLORIDE,APPROVAL
FGFR3,ERDAFITINIB,APPROVAL
FGFR3,MASITINIB,APPROVAL
FGFR3,INFIGRATINIB,APPROVAL
FGFR3,NINTEDANIB,APPROVAL
FGFR3,FUTIBATINIB,APPROVAL
FGFR3,PEMIGATINIB,APPROVAL
SRC,DASATINIB ANHYDROUS,APPROVAL
SRC,VANDETANIB,APPROVAL
SRC,TIRBANIBULIN,APPROVAL
SRC,BOSUTINIB,APPROVAL
CFD,DANICOPAN,APPROVAL
C1S,HUMAN C1-ESTERASE INHIBITOR,APPROVAL
C1S,SUTIMLIMAB,APPROVAL
IL6ST,SATRALIZUMAB,APPROVAL
PRKCQ,MIDOSTAURIN,APPROVAL
TERT,IMETELSTAT,APPROVAL
TERT,IMETELSTAT SODIUM,APPROVAL
POLD1,GEMCITABINE,APPROVAL
POLD1,FLUDARABINE PHOSPHATE,APPROVAL
POLD1,GEMCITABINE HYDROCHLORIDE,APPROVAL
POLD1,CLOFARABINE,APPROVAL
POLD1,CYTARABINE,APPROVAL
PIK3CA,COPANLISIB,APPROVAL
PIK3CA,COPANLISIB HYDROCHLORIDE,APPROVAL
PIK3CA,ALPELISIB,APPROVAL
PIK3CA,INAVOLISIB,APPROVAL
NR3C1,TRIAMCINOLONE,APPROVAL
NR3C1,HYDROCORTISONE SODIUM SUCCINATE,APPROVAL
NR3C1,METHYLPREDNISOLONE ACETATE,APPROVAL
NR3C1,HYDROCORTISONE PROBUTATE,APPROVAL
NR3C1,FLUTICASONE FUROATE,APPROVAL
NR3C1,DESOXIMETASONE,APPROVAL
NR3C1,BUDESONIDE,APPROVAL
NR3C1,CORTISONE ACETATE,APPROVAL
NR3C1,DESONIDE,APPROVAL
NR3C1,DEXAMETHASONE SODIUM PHOSPHATE,APPROVAL
NR3C1,BETAMETHASONE ACETATE,APPROVAL
NR3C1,RIMEXOLONE,APPROVAL
NR3C1,HALOBETASOL PROPIONATE,APPROVAL
NR3C1,TRIAMCINOLONE HEXACETONIDE,APPROVAL
NR3C1,FLUPREDNISOLONE,APPROVAL
NR3C1,CICLESONIDE,APPROVAL
NR3C1,HYDROCORTAMATE,APPROVAL
NR3C1,PREDNISOLONE ACETATE,APPROVAL
NR3C1,PREDNISOLONE,APPROVAL
NR3C1,DIFLUPREDNATE,APPROVAL
NR3C1,HYDROCORTISONE BUTYRATE,APPROVAL
NR3C1,PREDNISOLONE SODIUM PHOSPHATE,APPROVAL
NR3C1,DEFLAZACORT,APPROVAL
NR3C1,FLUTICASONE PROPIONATE,APPROVAL
NR3C1,BETAMETHASONE DIPROPIONATE,APPROVAL
NR3C1,AMCINONIDE,APPROVAL
NR3C1,FLUOCINOLONE ACETONIDE,APPROVAL
NR3C1,MIFEPRISTONE,APPROVAL
NR3C1,HYDROCORTISONE ACETATE,APPROVAL
NR3C1,MEPREDNISONE,APPROVAL
NR3C1,MOMETASONE FUROATE,APPROVAL
NR3C1,BETAMETHASONE BENZOATE,APPROVAL
NR3C1,HYDROCORTISONE,APPROVAL
NR3C1,MEDRYSONE,APPROVAL
NR3C1,FLURANDRENOLIDE,APPROVAL
NR3C1,HALCINONIDE,APPROVAL
NR3C1,FLUOROMETHOLONE,APPROVAL
NR3C1,VAMOROLONE,APPROVAL
NR3C1,FLUNISOLIDE,APPROVAL
NR3C1,DIFLORASONE DIACETATE,APPROVAL
NR3C1,FLUMETHASONE PIVALATE,APPROVAL
NR3C1,CLOBETASOL PROPIONATE,APPROVAL
NR3C1,BETAMETHASONE SODIUM PHOSPHATE,APPROVAL
NR3C1,LOTEPREDNOL ETABONATE,APPROVAL
NR3C1,BETAMETHASONE VALERATE,APPROVAL
NR3C1,FLUOCINONIDE,APPROVAL
NR3C1,BETAMETHASONE,APPROVAL
NR3C1,PREDNICARBATE,APPROVAL
NR3C1,DEXAMETHASONE,APPROVAL
NR3C1,METHYLPREDNISOLONE,APPROVAL
NR3C1,METHYLPREDNISOLONE SODIUM SUCCINATE,APPROVAL
NR3C1,PREDNISONE,APPROVAL
NR3C1,TRIAMCINOLONE ACETONIDE,APPROVAL
NR3C1,ALCLOMETASONE DIPROPIONATE,APPROVAL
NR3C1,BECLOMETHASONE DIPROPIONATE,APPROVAL
ITGA4,NATALIZUMAB,APPROVAL
ITGA4,VEDOLIZUMAB,APPROVAL
RPSA,ATALUREN,APPROVAL
PRKCB,MIDOSTAURIN,APPROVAL
HAVCR2,SABATOLIMAB,APPROVAL
PPARG,BALSALAZIDE DISODIUM,APPROVAL
PPARG,MESALAMINE,APPROVAL
PPARG,OLSALAZINE,APPROVAL
PPARG,PIOGLITAZONE,APPROVAL
PPARG,BEZAFIBRATE,APPROVAL
PPARG,TROGLITAZONE,APPROVAL
PPARG,BALSALAZIDE,APPROVAL
PPARG,ROSIGLITAZONE,APPROVAL
PPARG,PIOGLITAZONE HYDROCHLORIDE,APPROVAL
PPARG,ROSIGLITAZONE MALEATE,APPROVAL
PPARG,OLSALAZINE SODIUM,APPROVAL
PPARG,SAROGLITAZAR,APPROVAL
IL13,LEBRIKIZUMAB,APPROVAL
IL13,TRALOKINUMAB,APPROVAL
MS4A1,GLOFITAMAB,APPROVAL
MS4A1,OBINUTUZUMAB,APPROVAL
MS4A1,UBLITUXIMAB,APPROVAL
MS4A1,MOSUNETUZUMAB,APPROVAL
MS4A1,TOSITUMOMAB,APPROVAL
MS4A1,EPCORITAMAB,APPROVAL
MS4A1,YTTRIUM Y 90 IBRITUMOMAB TIUXETAN,APPROVAL
MS4A1,RITUXIMAB,APPROVAL
MS4A1,OFATUMUMAB,APPROVAL
MS4A1,OCRELIZUMAB,APPROVAL
MS4A1,ODRONEXTAMAB,APPROVAL
IL4R,DUPILUMAB,APPROVAL
EGLN1,DAPRODUSTAT,APPROVAL
EGLN1,VADADUSTAT,APPROVAL
EGLN1,ROXADUSTAT,APPROVAL
EGLN1,ENARODUSTAT,APPROVAL
EGLN1,MOLIDUSTAT,APPROVAL
EPHB4,VANDETANIB,APPROVAL
IL12A,USTEKINUMAB,APPROVAL
IL12A,BRIAKINUMAB,APPROVAL
RARA,TRETINOIN,APPROVAL
RARA,ALITRETINOIN,APPROVAL
RARA,ETRETINATE,APPROVAL
RARA,ISOTRETINOIN,APPROVAL
RARA,ADAPALENE,APPROVAL
RARA,ACITRETIN,APPROVAL
RARA,TAZAROTENE,APPROVAL
CD86,BELATACEPT,APPROVAL
CD86,ABATACEPT,APPROVAL
TNFRSF17,IDECABTAGENE VICLEUCEL,APPROVAL
TNFRSF17,BELANTAMAB MAFODOTIN,APPROVAL
TNFRSF17,CILTACABTAGENE AUTOLEUCEL,APPROVAL
TNFRSF17,ELRANATAMAB,APPROVAL
